name_first,name_last,c_ID,email,Street#,Str_Name,Apt#,City,State,Country,ZIP
Matt,Black,38407,magicstuff7@business.com,2194,Armstrong Ave.,24,Massapequa,Delaware,Australia,74028
Noah,Nielsen,73271,magicstuff8@gmail.com,842,King Dr.,1 FL,Mattituck,Maine,India,37145
Josh,Nunes,106346,magicstuff8@rit.edu,4841,King Dr.,8R,Wantaugh,Florida,Australia,73010
Ryan,Harwitt,24993,magicstuff8@yahoo.com,3505,Hicksville Road,9F,Wantaugh,Washington D.C.,Mexico,65235
Rick,Barzal,55542,magicstuff8@aol.com,9631,Hollis Lane,24,Yaphank,Pennsylvania,France,61707
Josh,Bailey,76709,magicstuff8@business.com,71,Hicksville Road,6D,Massapequa,California,United States,79992
Patrick,White,95718,magicstuff9@gmail.com,9743,Washington Ave.,SUITE 544,Northampton,Georgia,India,64215
Matt,Black,58140,magicstuff9@rit.edu,8773,King Dr.,3 FL,Copaigue,Louisiana,Germany,35238
Felix,Nelson,27802,magicstuff9@yahoo.com,5213,Washington Ave.,56H,Wyandanch,Louisiana,South Africa,54657
Rick,Tavares,58487,magicstuff9@aol.com,2680,Armstrong Ave.,SUITE 345,Ronkonkoma,Florida,India,16649
Josh,White,74756,magicstuff9@business.com,1191,Harrison St.,5K,Northampton,California,France,14192
Rick,Nelson,70775,magicstuff10@gmail.com,3681,James Ct.,24,Ronkonkoma,West Virginia,Canada,45273
Aaron,Tavares,58437,magicstuff10@rit.edu,3823,Jefferson Ave.,SUITE 345,Yaphank,Oregon,Germany,77095
Kevin,Alexander-Parenteau,64012,magicstuff10@yahoo.com,8116,149th St.,5K,Quogue,West Virginia,Mexico,15937
Brian,Black,88710,magicstuff10@aol.com,3014,Canal St.,8R,Yaphank,Oregon,Italy,64544
Joel,Black,96042,magicstuff10@business.com,1260,149th St.,24,Northampton,Oregon,India,30131
